10,0.00
76,0.01
87,0.25
48,0.34
31,0.05
32,0.06
80,0.04
51,0.15
93,0.31
47,0.26
72,0.38
41,0.36
39,0.28
69,0.04
35,0.16
26,0.15
32,0.40
97,0.38
83,0.16
75,0.14
58,0.13
57,0.27
70,0.03
63,0.32
17,0.27
67,0.32
91,0.34
75,0.13
45,0.06
88,0.11
64,0.00
11,0.24
49,0.24
50,0.19
72,0.15
29,0.03
54,0.05
33,0.05
34,0.33
66,0.04
17,0.28
36,0.16
89,0.01
15,0.08
33,0.18
83,0.36
96,0.02
92,0.30
30,0.39
27,0.10
30,0.18
48,0.26
82,0.10
18,0.35
58,0.09
14,0.26
49,0.00
77,0.03
42,0.36
71,0.36
92,0.21
14,0.25
98,0.03
11,0.39
20,0.37
13,0.06
77,0.08
83,0.09
17,0.16
84,0.18
99,0.31
100,0.02
54,0.10
97,0.38
87,0.38
29,0.16
13,0.39
93,0.33
75,0.19
70,0.19
61,0.04
77,0.23
62,0.30
97,0.30
60,0.05
33,0.31
76,0.11
93,0.28
56,0.04
56,0.23
41,0.19
22,0.03
51,0.30
50,0.05
56,0.19
66,0.35
81,0.40
26,0.35
32,0.30
88,0.12
