15,2,0.01
13,6,0.04
13,2,0.07
19,2,0.08
16,8,0.14
15,10,0.1
10,4,0.15
10,5,0.15
11,2,0.13
14,2,0.17
10,3,0.13
13,8,0.20
15,4,0.08
16,4,0.11
17,7,0.20
16,11,0.1
16,4,0.06
13,3,0.05
10,5,0.05
20,19,0.1
10,2,0.08
13,2,0.15
12,4,0.17
11,4,0.12
14,6,0.04
13,2,0.20
17,3,0.04
12,2,0.20
14,3,0.11
16,10,0.1
15,9,0.18
13,3,0.12
16,12,0.0
11,5,0.04
16,8,0.14
10,3,0.17
13,8,0.02
10,3,0.03
13,2,0.06
16,11,0.0
16,12,0.1
11,3,0.12
19,2,0.04
16,9,0.10
14,8,0.04
15,2,0.07
10,5,0.17
16,5,0.10
13,8,0.20
12,3,0.08
12,6,0.11
13,4,0.06
13,4,0.08
12,6,0.09
11,4,0.02
16,4,0.02
15,7,0.17
17,5,0.02
17,13,0.2
13,3,0.13
19,5,0.08
15,2,0.12
14,9,0.10
18,10,0.2
14,8,0.15
14,2,0.03
13,6,0.03
15,5,0.19
20,2,0.19
12,6,0.02
19,10,0.0
20,10,0.1
14,3,0.12
14,6,0.19
10,4,0.17
19,12,0.1
13,7,0.01
10,3,0.16
16,4,0.06
12,5,0.09
13,7,0.13
17,4,0.19
17,10,0.1
13,8,0.18
15,7,0.12
10,2,0.09
10,5,0.14
19,5,0.16
15,2,0.04
17,11,0.0
12,2,0.15
12,7,0.10
11,5,0.18
10,2,0.05
16,2,0.03
14,3,0.20
14,3,0.02
20,10,0.1
13,4,0.07
16,7,0.07
