2,2,3
7,8,2
7,6,5
6,3,4
3,2,3
3,5,4
2,4,4
6,5,4
4,8,3
2,3,3
5,8,4
2,3,5
6,5,2
7,7,2
7,6,4
3,8,3
3,5,4
2,4,2
4,7,2
6,5,5
5,7,2
5,6,4
4,2,4
5,8,4
6,5,3
7,6,5
2,4,4
6,5,3
7,6,4
5,4,3
2,4,5
4,2,5
7,6,5
6,2,3
7,6,3
3,4,5
4,6,4
3,2,3
4,2,2
4,3,4
4,6,5
2,4,3
5,4,5
6,2,3
6,7,3
6,4,5
3,4,4
4,8,5
4,3,3
7,6,2
2,7,5
2,2,2
3,3,3
6,8,5
5,2,3
5,5,3
6,2,2
4,2,2
5,8,4
2,2,3
4,4,4
5,4,4
4,4,3
4,7,5
2,7,2
3,4,4
4,4,4
6,5,3
2,2,3
2,6,5
3,2,4
2,2,5
4,2,4
5,6,2
4,6,2
3,2,3
3,7,3
7,8,2
5,4,3
3,8,3
4,7,3
5,8,5
5,4,2
3,3,5
3,8,2
7,5,3
4,5,3
2,2,4
6,8,4
2,5,3
5,6,4
5,7,5
2,4,4
5,2,2
2,8,5
5,3,4
7,5,3
5,4,5
6,2,5
2,7,3
