15,2
33,3
29,4
39,5
29,2
33,3
33,4
24,5
24,2
18,3
28,4
45,5
27,2
22,3
30,4
44,5
28,2
23,3
26,4
46,5
36,2
22,3
32,4
39,5
21,2
18,3
23,4
39,5
24,2
36,3
22,4
30,5
38,2
33,3
22,4
31,5
38,2
18,3
33,4
45,5
39,2
23,3
31,4
38,5
26,2
34,3
21,4
35,5
18,2
24,3
38,4
32,5
37,2
24,3
45,4
25,5
33,2
31,3
42,4
24,5
37,2
18,3
43,4
37,5
17,2
28,3
28,4
32,5
15,2
35,3
38,4
47,5
24,2
31,3
32,4
32,5
26,2
36,3
26,4
36,5
30,2
39,3
36,4
48,5
38,2
19,3
41,4
26,5
15,2
37,3
25,4
29,5
18,2
35,3
21,4
32,5
24,2
32,3
30,4
36,5
