1,9,2
3,2,1
1,4,32
3,1,1
3,6,1
3,9,128
3,7,4
1,6,2
2,2,4
1,1,64
2,9,32
4,6,4
3,4,128
2,9,32
2,7,32
4,9,2
3,4,128
2,8,1
4,3,128
1,9,32
4,1,16
1,5,4
1,6,8
3,7,1
2,6,2
1,1,2
1,1,2
1,7,2
3,8,4
2,9,128
1,8,128
2,6,8
3,1,128
3,7,64
1,7,32
2,1,4
4,2,4
1,7,2
1,8,4
4,1,64
1,10,128
1,7,16
3,5,1
3,9,16
3,7,4
1,7,64
1,9,64
2,8,128
2,3,1
4,3,32
3,9,128
2,4,4
2,9,16
2,9,128
3,7,4
3,1,2
3,9,32
3,4,64
4,3,16
1,3,1
1,8,4
1,8,4
2,4,128
3,9,16
1,2,128
1,4,64
2,7,2
3,4,128
1,8,8
3,10,32
2,10,4
3,8,1
1,6,64
3,10,64
3,9,128
2,6,32
1,7,2
4,10,1
3,7,32
1,5,4
4,7,8
4,4,32
3,5,8
4,8,8
3,10,8
1,3,8
4,4,32
1,10,4
1,4,128
4,6,2
1,8,2
3,4,8
4,8,16
3,7,64
1,2,4
2,9,2
2,2,4
3,8,32
3,9,16
3,4,2
