50,95,36
35,66,289
23,89,324
35,61,4
33,81,529
35,93,529
30,89,784
49,71,36
30,87,784
10,61,196
22,95,1
45,73,81
24,76,25
43,96,1
26,65,144
43,93,361
24,78,81
19,98,81
39,73,25
46,65,576
26,94,81
17,62,484
28,62,289
16,90,16
21,62,900
10,65,841
14,74,784
13,95,225
25,76,441
40,79,25
40,96,9
20,72,225
48,70,256
35,60,900
36,65,1
22,60,576
48,91,16
10,85,625
13,71,484
23,79,289
49,98,784
19,75,9
31,64,36
33,95,36
29,79,841
11,87,729
10,92,625
23,89,196
15,99,100
20,68,36
31,85,256
24,74,169
46,80,676
45,70,289
43,71,256
19,84,4
32,68,81
19,82,324
45,76,900
16,68,729
39,96,441
10,96,36
46,71,729
32,94,121
13,75,576
42,93,324
32,79,484
34,73,729
11,83,441
39,82,900
24,76,784
48,91,121
25,75,81
31,98,729
43,68,49
23,81,441
28,86,16
40,89,81
32,86,400
30,79,9
44,82,225
18,95,100
40,81,9
50,69,169
31,67,324
12,95,144
43,74,900
13,67,841
24,97,1
41,82,36
17,63,484
18,79,361
15,95,529
19,99,361
46,70,729
23,94,225
26,72,900
33,87,529
26,84,676
23,65,36
