5,10
25,36
25,15
11,42
9,37
49,23
5,34
15,26
26,18
6,10
28,7
18,31
39,21
24,23
23,39
24,30
44,19
16,40
34,32
37,36
18,30
25,27
28,24
29,23
45,25
27,47
11,14
26,48
14,44
19,49
20,15
29,8
9,37
48,25
30,38
10,8
46,48
13,19
13,49
21,7
47,5
12,50
29,29
38,40
21,16
24,49
12,29
34,10
24,50
30,20
16,11
26,34
15,39
31,42
13,6
28,12
17,48
40,50
25,37
38,12
21,17
50,18
44,5
27,35
40,38
11,50
46,7
7,41
14,40
32,7
12,31
12,22
14,13
14,6
46,50
34,17
32,44
26,31
14,27
34,23
31,6
27,8
47,46
13,16
36,27
23,26
48,46
6,35
18,22
21,14
18,47
19,29
24,31
13,14
47,42
49,40
13,44
11,32
22,19
38,31
